symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
KALYANKJIL,610.6,594.24,539.66,474.87,True,5.91,True,0.26,True,0.65,True,True,True,True,96,61.9,67.7,,618.02,608.19,9
MOTHERSON,165.0,163.4,154.5,133.5,True,4.77,True,0.41,True,0.67,True,True,True,True,90,59.1,68.9,,167.17,164.75,9
RRKABEL,2810.6,2753.91,2541.92,1960.55,True,5.8,True,0.42,True,0.95,False,True,True,True,98,59.8,75.9,⚠️ W RSI>75,2848.65,2797.3,8
AEGISLOG,1331.7,1325.6,1234.6,944.53,True,11.09,True,0.21,True,0.96,False,True,False,False,98,52.2,66.1,,1338.34,1309.69,7
APARINDS,17063.0,16316.61,15326.56,12433.58,True,7.59,True,0.59,True,0.6,True,False,False,False,97,60.9,65.9,,17366.35,16864.12,7
SYRMA,1474.1,1444.37,1376.58,1088.16,True,4.37,True,0.56,True,0.83,False,True,False,False,97,57.7,73.4,,1484.48,1456.34,7
NEULANDLAB,23545.0,22220.25,20393.3,16924.5,True,1.41,True,0.55,True,0.66,True,False,False,False,96,67.5,83.2,⚠️ W RSI>75,23692.67,22955.02,7
M&MFIN,385.35,382.88,361.29,327.79,True,7.14,True,0.35,True,0.73,False,True,False,False,91,55.0,64.6,,389.79,383.27,7
ANANDRATHI,2179.4,2142.19,2057.29,1766.8,True,2.27,True,0.31,True,0.74,False,True,False,False,90,62.8,79.1,⚠️ W RSI>75,2183.18,2157.84,7
ACMESOLAR,395.95,382.93,367.88,312.06,True,3.78,True,2.11,False,1.37,False,True,True,True,88,60.0,69.6,,405.91,394.01,7
FINCABLES,1286.35,1202.59,1126.2,990.64,True,6.38,True,0.5,True,0.93,False,True,False,False,87,64.7,66.3,,1296.75,1260.19,7
THELEELA,552.8,522.47,496.82,453.03,True,4.03,True,1.37,False,1.08,False,True,True,True,87,67.4,70.6,,557.06,545.45,7
CRAFTSMAN,10539.0,10345.91,9834.9,8433.08,True,3.84,True,0.31,True,0.68,True,False,True,False,86,58.2,70.4,,10581.07,10357.63,7
ACE,1159.0,1121.23,1058.94,990.14,True,3.09,True,0.42,True,0.83,False,True,True,True,82,60.4,66.4,,1174.47,1152.85,7
KPIL,1391.3,1361.94,1334.59,1255.0,True,5.22,True,0.49,True,0.65,True,True,True,True,58,58.4,64.0,,1399.4,1380.42,7
ATHERENERG,1494.6,1427.81,1298.61,957.43,True,5.41,True,0.48,True,0.73,False,False,False,False,99,63.5,73.6,,1496.09,1441.46,6
REDINGTON,354.2,336.35,306.54,269.42,True,4.48,True,0.91,False,0.91,False,True,False,False,97,63.7,69.6,,356.36,348.9,6
PFOCUS,302.55,287.4,276.62,252.14,True,17.56,False,2.19,False,0.97,False,True,True,True,96,59.9,55.9,,308.01,299.2,6
PAYTM,1716.0,1552.86,1408.25,1229.97,True,0.94,True,1.5,False,0.89,False,True,False,False,95,76.5,74.7,,1734.03,1705.29,6
SHRIRAMFIN,1117.5,1107.34,1067.58,961.53,True,3.14,True,0.57,True,0.99,False,False,False,False,94,55.4,63.5,,1143.14,1103.9,6
WELSPUNLIV,190.63,175.2,165.51,145.99,True,2.24,True,1.29,False,0.87,False,True,False,False,94,72.9,73.5,,192.19,187.31,6
KARURVYSYA,354.35,335.96,322.92,290.34,True,1.2,True,0.52,True,1.13,False,False,False,False,93,70.3,66.6,,359.01,345.2,6
NATIONALUM,399.3,383.91,375.26,346.03,True,9.94,True,0.53,True,0.85,False,False,True,False,93,60.3,56.2,,400.85,392.61,6
BHEL,415.5,414.71,405.86,345.49,True,6.94,True,0.32,True,0.77,False,False,False,False,92,51.7,63.5,,421.42,415.08,6
GLAND,2903.2,2755.8,2565.24,2149.8,True,4.49,True,0.46,True,0.81,False,False,False,False,91,67.4,70.4,,2917.91,2828.57,6
NAVINFLUOR,8553.0,8128.63,7815.18,6816.19,True,2.54,True,0.51,True,0.9,False,False,False,False,91,65.2,68.1,,8628.62,8221.77,6
SAILIFE,1461.0,1411.0,1329.0,1115.18,True,1.62,True,0.65,False,0.82,False,True,False,False,91,63.0,76.3,⚠️ W RSI>75,1479.28,1452.15,6
